policy_id,valuation_month,earned_fraction,exposure_units
POL10001,2024-01,0.0833,1.0
POL10001,2024-02,0.0833,1.0
POL10001,2024-03,0.0833,1.0
POL10002,2024-01,0.0833,1.0
POL10002,2024-02,0.0833,1.0
POL10002,2024-03,0.0833,1.0
POL10003,2024-01,0.0833,1.0
POL10003,2024-02,0.0833,1.0
POL10005,2024-01,0.0833,1.0
POL10005,2024-02,0.0833,1.0
POL10005,2024-03,0.0833,1.0
POL10007,2024-01,0.0833,1.0
POL10007,2024-02,0.0833,1.0
POL10008,2024-01,0.0833,1.0
POL10008,2024-02,0.0833,1.0
POL10011,2024-01,0.0833,1.0
POL10011,2024-02,0.0833,1.0
POL10013,2024-01,0.0833,1.0
POL10015,2024-01,0.0833,1.0
POL10015,2024-02,0.0833,1.0
POL10017,2024-01,0.0833,1.0
POL10017,2024-02,0.0833,1.0
POL10018,2024-01,0.0833,1.0
POL10020,2024-01,0.0833,1.0
POL10021,2024-01,0.0833,1.0
POL10022,2024-01,0.0833,1.0
POL10023,2024-01,0.0833,1.0
