policy_id,person_id,product_code,inception_date,written_premium,term_years,status
POL10001,P0001,TERM_LIFE,2022-01-15,420.00,20,IF
POL10002,P0002,UL_PERM,2020-06-01,1850.50,99,IF
POL10003,P0003,TERM_LIFE,2023-03-10,310.25,15,IF
POL10004,P0004,ACCIDENT,2024-02-01,95.00,1,IF
POL10005,P0005,TERM_LIFE,2019-11-20,890.00,10,IF
POL10006,P0006,TERM_LIFE,2021-07-01,275.40,20,IF
POL10007,P0007,UL_PERM,2018-04-12,2100.00,99,IF
POL10008,P0008,TERM_LIFE,2022-09-30,540.75,15,IF
POL10009,P0009,ACCIDENT,2024-01-10,110.00,1,IF
POL10010,P0010,TERM_LIFE,2023-05-22,300.00,20,IF
POL10011,P0011,UL_PERM,2017-08-08,3200.00,99,IF
POL10012,P0012,TERM_LIFE,2021-12-01,355.60,15,IF
POL10013,P0013,TERM_LIFE,2020-02-14,610.90,20,IF
POL10014,P0014,ACCIDENT,2024-06-01,88.50,1,IF
POL10015,P0015,TERM_LIFE,2019-05-30,725.00,10,IF
POL10016,P0016,TERM_LIFE,2022-10-10,290.10,20,IF
POL10017,P0017,UL_PERM,2016-03-18,2650.75,99,IF
POL10018,P0018,TERM_LIFE,2023-08-19,445.00,15,IF
POL10019,P0019,TERM_LIFE,2024-03-03,220.00,20,IF
POL10020,P0020,ACCIDENT,2024-04-15,102.25,1,IF
POL10021,P0001,ACCIDENT,2023-11-01,79.99,1,IF
POL10022,P0005,ACCIDENT,2024-05-01,99.00,1,IF
POL10023,P0011,TERM_LIFE,2024-01-20,950.00,10,IF
POL10024,P0015,ACCIDENT,2023-12-12,105.50,1,IF
POL10025,P0007,TERM_LIFE,2024-07-01,330.00,15,IF
